YYYYMMDDHH FOGO
2010082612 3
2010082618 95
2010082700 3
2010082706 0
2010082712 13
2010082718 3
2010082800 3
2010082806 5
2010082812 11
2010082818 73
2010082900 9
2010082906 2
2010082912 9
2010082918 20
2010083000 5
2010083006 4
2010083012 21
2010083018 30
2010083100 17
2010083106 0
2010083112 0
2010083118 4
2010090100 0
2010090106 0
2010090112 7
2010090118 18
2010090200 2
2010090206 0
2010090212 2
2010090218 52
2010090300 0
2010090306 0
2010090312 21
2010090318 2
2010090400 10
2010090406 8
2010090412 13
2010090418 152
2010090500 4
2010090506 0
2010090512 12
2010090518 32
2010090600 9
2010090606 29
2010090612 50
2010090618 166
2010090700 19
2010090706 5
2010090712 16
2010090718 58
2010090800 0
2010090806 1
2010090812 35
2010090818 44
2010090900 11
2010090906 7
2010090912 0
2010090918 19
2010091000 0
2010091006 1
2010091012 21
2010091018 4
2010091100 10
2010091106 1
2010091112 12
2010091118 124
2010091200 0
2010091206 0
2010091212 17
2010091218 28
2010091300 5
2010091306 5
2010091312 24
2010091318 132
2010091400 12
2010091406 0
2010091412 13
2010091418 57
2010091500 3
2010091506 3
2010091512 28
2010091518 124
2010091600 12
2010091606 2
2010091612 3
2010091618 89
2010091700 0
2010091706 0
2010091712 24
2010091718 75
2010091800 19
2010091806 8
2010091812 7
2010091818 215
2010091900 9
2010091906 0
2010091912 39
2010091918 13
2010092000 8
2010092006 5
2010092012 16
2010092018 67
2010092100 1
2010092106 0
2010092112 11
2010092118 31
2010092200 0
2010092206 4
2010092212 31
2010092218 137
2010092300 0
2010092306 1
2010092312 7
2010092318 69
2010092400 0
2010092406 0
2010092412 59
2010092418 58
2010092500 22
2010092506 6
2010092512 0
2010092518 151
2010092600 5
2010092606 2
2010092612 47
2010092618 13
2010092700 8
2010092706 6
2010092712 9
2010092718 203
2010092800 0
2010092806 0
2010092812 45
2010092818 15
2010092900 1
2010092906 0
2010092912 11
2010092918 306
2010093000 0
2010093006 0
2010093012 13
2010093018 13
2010100100 4
2010100106 0
2010100112 15
2010100118 132
2010100200 6
2010100206 0
2010100212 0
2010100218 69
2010100300 1
2010100306 1
2010100312 18
2010100318 45
2010100400 6
2010100406 0
2010100412 2
2010100418 122
2010100500 0
2010100506 1
2010100512 32
2010100518 24
2010100600 3
2010100606 0
2010100612 22
2010100618 211
2010100700 2
2010100706 0
2010100712 16
2010100718 32
2010100800 7
2010100806 5
2010100812 16
2010100818 165
2010100900 9
2010100906 0
2010100912 6
2010100918 31
2010101000 0
2010101006 0
2010101012 16
2010101018 15
2010101100 4
2010101106 0
2010101112 0
2010101118 25
2010101200 0
2010101206 0
2010101212 3
2010101218 3
2010101300 7
2010101306 0
2010101312 0
2010101318 39
2010101400 2
2010101406 0
2010101412 8
2010101418 9
2010101500 0
2010101506 1
2010101512 6
2010101518 24
2010101600 9
2010101606 0
2010101612 8
2010101618 6
2010101700 8
2010101706 3
2010101712 13
2010101718 24
2010101800 0
2010101806 0
2010101812 2
2010101818 17
2010101900 0
2010101906 0
2010101912 3
2010101918 5
2010102000 0
2010102006 0
2010102012 0
2010102018 9
2010102100 0
2010102106 0
2010102112 7
2010102118 10
2010102200 2
2010102206 0
2010102212 2
2010102218 151
2010102300 1
2010102306 0
2010102312 16
2010102318 2
2010102400 8
2010102406 1
2010102412 11
2010102418 53
2010102500 0
2010102506 1
2010102512 3
2010102518 5
2010102600 0
2010102606 0
2010102612 0
2010102618 0
2010102700 0
2010102706 0
2010102712 0
2010102718 1
2010102800 0
2010102806 0
2010102812 2
2010102818 2
2010102900 2
2010102906 0
2010102912 0
2010102918 25
2010103000 0
2010103006 0
2010103012 3
2010103018 1
2010103100 2
2010103106 3
2010103112 0
2010103118 2
2010110100 0
2010110106 0
2010110112 5
2010110118 1
2010110200 0
2010110206 3
2010110212 5
2010110218 4
2010110300 0
2010110306 0
2010110312 0
2010110318 0
2010110400 0
2010110406 0
2010110412 1
2010110418 0
2010110500 0
2010110506 0
2010110512 0
2010110518 2
2010110600 0
2010110606 0
2010110612 6
2010110618 0
2010110700 0
2010110706 0
2010110712 0
2010110718 2
2010110800 0
2010110806 0
2010110812 0
2010110818 0
2010110900 0
2010110906 0
2010110912 0
2010110918 6
2010111000 0
2010111006 1
2010111012 0
2010111018 0
2010111100 0
2010111106 0
2010111112 6
2010111118 5
2010111200 2
2010111206 0
2010111212 0
2010111218 0
2010111300 0
2010111306 0
2010111312 2
2010111318 1
2010111400 0
2010111406 0
2010111412 0
2010111418 0
2010111500 0
2010111506 0
2010111512 0
2010111518 0
2010111600 0
2010111606 0
2010111612 0
2010111618 0
2010111700 0
2010111706 0
2010111712 0
2010111718 0
2010111800 0
2010111806 0
2010111812 0
2010111818 0
2010111900 0
2010111906 0
2010111912 0
2010111918 0
2010112000 0
2010112006 0
2010112012 0
2010112018 1
2010112100 0
2010112106 0
2010112112 0
2010112118 0
2010112200 0
2010112206 0
2010112212 0
2010112218 0
2010112300 0
2010112306 0
2010112312 1
2010112318 0
2010112400 0
2010112406 0
2010112412 0
2010112418 0
2010112500 0
2010112506 0
2010112512 0
2010112518 1
2010112600 0
2010112606 0
2010112612 0
2010112618 0
2010112700 0
2010112706 0
2010112712 0
2010112718 0
2010112800 0
2010112806 0
2010112812 0
2010112818 1
2010112900 0
2010112906 0
2010112912 0
2010112918 0
2010113000 0
2010113006 0
2010113012 0
2010113018 4
2010120100 0
2010120106 0
2010120112 0
2010120118 0
2010120200 0
2010120206 0
2010120212 0
2010120218 12
2010120300 0
2010120306 0
2010120312 0
2010120318 0
2010120400 0
2010120406 0
2010120412 0
2010120418 3
2010120500 0
2010120506 0
2010120512 0
2010120518 3
2010120600 0
2010120606 0
2010120612 0
2010120618 1
2010120700 0
2010120706 0
2010120712 0
2010120718 0
2010120800 0
2010120806 0
2010120812 0
2010120818 0
2010120900 0
2010120906 0
2010120912 0
2010120918 3
2010121000 0
2010121006 0
2010121012 0
2010121018 0
2010121100 0
2010121106 0
2010121112 0
2010121118 1
2010121200 0
2010121206 0
2010121212 0
2010121218 0
2010121300 0
2010121306 0
2010121312 2
2010121318 1
2010121400 0
2010121406 0
2010121412 0
2010121418 0
2010121500 0
2010121506 0
2010121512 0
2010121518 0
2010121600 0
2010121606 0
