YYYYMMDDHH air2m
2000091506 295.812
2000091512 305.066
2000091518 298.493
2000091600 294.133
2000091606 295.733
2000091612 304.81
2000091618 298.349
2000091700 293.866
2000091706 296.213
2000091712 305.144
2000091718 297.885
2000091800 293.161
2000091806 295.146
2000091812 304.006
2000091818 296.76
2000091900 291.481
2000091906 294.699
2000091912 303.815
2000091918 295.716
2000092000 290.858
2000092006 293.614
2000092012 303.183
2000092018 295.483
2000092100 290.993
2000092106 293.936
2000092112 303.637
2000092118 294.775
2000092200 289.193
2000092206 293.813
2000092212 305.195
2000092218 295.284
2000092300 290.58
2000092306 295.221
2000092312 305.716
2000092318 296.694
2000092400 291.46
2000092406 295.6
2000092412 308.232
2000092418 295.101
2000092500 291.333
2000092506 297.894
2000092512 309.385
2000092518 299.276
2000092600 294.646
2000092606 296.209
2000092612 303.218
2000092618 295.77
2000092700 290.928
2000092706 292.785
2000092712 300.348
2000092718 295.079
2000092800 290.449
2000092806 293.293
2000092812 301.042
2000092818 294.032
2000092900 289.851
2000092906 293.771
2000092912 303.129
2000092918 295.584
2000093000 291.048
2000093006 294.814
2000093012 304.046
2000093018 296.381
2000100100 292.971
2000100106 295.912
2000100112 303.352
2000100118 296.251
2000100200 293.136
2000100206 295.967
2000100212 304.402
2000100218 296.469
2000100300 292.108
2000100306 298.185
2000100312 310.483
2000100318 298.902
2000100400 294.841
2000100406 300.612
2000100412 311.164
2000100418 300.064
2000100500 296.598
2000100506 300.394
2000100512 310.947
2000100518 300.645
2000100600 297.777
2000100606 301.391
2000100612 308.605
2000100618 298.485
2000100700 294.237
2000100706 298.021
2000100712 307.512
2000100718 297.926
2000100800 293.803
2000100806 297.467
2000100812 304.73
2000100818 297.039
2000100900 293.074
2000100906 295.973
2000100912 304.728
2000100918 296.778
2000101000 291.691
2000101006 296.2
2000101012 306.283
2000101018 297.427
2000101100 292.488
2000101106 297.267
2000101112 307.27
2000101118 297.748
2000101200 292.555
2000101206 297.02
2000101212 307.558
2000101218 297.624
2000101300 292.289
2000101306 297.488
2000101312 307.669
2000101318 297.479
2000101400 292.397
2000101406 297.4
2000101412 307.413
2000101418 297.425
2000101500 292.558
2000101506 296.346
2000101512 305.867
2000101518 297.563
2000101600 292.128
2000101606 296.215
2000101612 304.359
2000101618 296.404
2000101700 291.113
2000101706 295.833
2000101712 304.118
2000101718 296.673
2000101800 291.524
2000101806 296.255
2000101812 306.17
2000101818 297.025
2000101900 292.018
2000101906 297.153
2000101912 306.492
2000101918 296.952
2000102000 292.895
2000102006 298.294
2000102012 308.02
2000102018 298.518
2000102100 293.371
2000102106 298.064
2000102112 308.831
2000102118 297.454
2000102200 293.244
2000102206 297.371
2000102212 306.941
2000102218 298.203
2000102300 294.401
2000102306 298.299
2000102312 306.149
2000102318 297.635
2000102400 292.819
2000102406 297.533
2000102412 306.258
2000102418 297.567
2000102500 293.087
2000102506 298.587
2000102512 306.158
2000102518 297.847
2000102600 293.491
2000102606 298.778
2000102612 305.018
2000102618 297.225
2000102700 292.323
2000102706 297.287
2000102712 305.145
2000102718 296.911
2000102800 293.285
2000102806 298.856
2000102812 307.976
2000102818 298.489
2000102900 295.546
2000102906 298.565
2000102912 306.288
2000102918 296.995
2000103000 292.877
2000103006 294.489
2000103012 299.451
2000103018 294.455
2000103100 291.961
2000103106 294.874
2000103112 299.347
2000103118 294.546
2000110100 292.274
2000110106 295.897
2000110112 301.82
2000110118 294.097
2000110200 291.548
2000110206 295.172
2000110212 300.837
2000110218 294.332
2000110300 291.486
2000110306 297.495
2000110312 305.008
2000110318 296.94
2000110400 293.326
2000110406 296.547
2000110412 300.916
2000110418 294.901
2000110500 293.179
2000110506 295.959
2000110512 298.014
2000110518 294.335
2000110600 293.224
2000110606 295.311
2000110612 297.237
2000110618 294.457
2000110700 293.201
2000110706 295.236
2000110712 297.818
2000110718 294.484
2000110800 293.028
2000110806 294.539
2000110812 296.195
2000110818 292.987
2000110900 291.542
2000110906 293.62
2000110912 296.681
2000110918 293.506
2000111000 292.324
2000111006 295.091
2000111012 297.046
2000111018 294.246
2000111100 292.636
2000111106 296.035
2000111112 297.757
2000111118 294.545
2000111200 292.882
2000111206 296.257
2000111212 298.2
2000111218 295.079
2000111300 293.277
2000111306 297.003
2000111312 297.937
2000111318 295.289
2000111400 294.244
2000111406 296.145
2000111412 298.81
2000111418 295.377
2000111500 293.853
2000111506 296.108
2000111512 298.77
2000111518 295.224
2000111600 293.891
2000111606 295.368
2000111612 298.03
2000111618 294.168
2000111700 292.723
2000111706 294.702
2000111712 298.078
2000111718 293.601
2000111800 291.709
2000111806 294.071
2000111812 298.649
2000111818 292.902
2000111900 290.977
2000111906 295.062
2000111912 300.356
2000111918 293.935
2000112000 291.7
2000112006 296.15
2000112012 301.21
2000112018 293.802
2000112100 291.513
2000112106 296.17
2000112112 301.548
2000112118 294.214
2000112200 292.177
2000112206 296.382
2000112212 302.314
2000112218 294.77
2000112300 292.056
2000112306 296.105
2000112312 302.067
2000112318 294.014
2000112400 291.6
2000112406 296.78
2000112412 302.766
2000112418 294.57
2000112500 291.845
2000112506 297.25
2000112512 301.595
2000112518 294.448
2000112600 291.968
2000112606 297.117
2000112612 302.493
2000112618 295.015
2000112700 292.431
2000112706 296.862
2000112712 302.293
2000112718 295.016
2000112800 292.01
2000112806 296.458
2000112812 302.011
2000112818 294.924
2000112900 292.176
2000112906 296.781
2000112912 302.81
2000112918 295.235
2000113000 292.687
2000113006 297.558
2000113012 302.992
2000113018 295.638
2000120100 293.577
2000120106 297.576
2000120112 301.44
2000120118 295.96
2000120200 293.594
2000120206 298.242
2000120212 301.785
2000120218 296.273
2000120300 293.78
2000120306 297.555
2000120312 301.762
2000120318 294.935
2000120400 292.954
2000120406 295.467
2000120412 301.311
2000120418 295.544
2000120500 293.665
2000120506 295.979
2000120512 299.786
2000120518 294.967
2000120600 293.62
2000120606 296.769
2000120612 301.533
2000120618 296.159
2000120700 294.157
2000120706 297.697
2000120712 300.374
2000120718 295.37
2000120800 293.569
2000120806 295.68
2000120812 298.901
2000120818 294.313
2000120900 292.111
2000120906 294.591
2000120912 299.781
2000120918 294.102
2000121000 292.165
2000121006 297.047
2000121012 300.857
2000121018 295.379
2000121100 293.147
2000121106 296.49
2000121112 297.548
2000121118 294.592
2000121200 293.09
2000121206 295.433
2000121212 296.779
2000121218 294.112
2000121300 292.979
2000121306 294.888
2000121312 296.844
2000121318 294.334
2000121400 293.056
2000121406 295.777
2000121412 297.211
2000121418 294.534
2000121500 293.346
2000121506 295.298
2000121512 297.41
2000121518 294.489
2000121600 293.057
2000121606 295.464
2000121612 296.711
2000121618 294.2
2000121700 293.057
2000121706 294.507
2000121712 295.671
2000121718 293.605
2000121800 292.628
2000121806 293.108
2000121812 295.789
2000121818 293.22
2000121900 292.344
2000121906 295.26
2000121912 298.675
2000121918 295.023
2000122000 293.366
2000122006 295.8
2000122012 299.003
2000122018 295.113
2000122100 293.175
2000122106 296.877
2000122112 298.156
2000122118 294.911
2000122200 292.657
2000122206 295.589
2000122212 298.736
2000122218 295.377
2000122300 292.764
2000122306 296.22
2000122312 299.297
2000122318 294.89
2000122400 292.565
2000122406 295.12
2000122412 299.2
2000122418 294.733
2000122500 292.654
2000122506 294.846
2000122512 298.121
2000122518 294.1
2000122600 292.054
2000122606 294.635
2000122612 299.658
2000122618 294.067
2000122700 291.755
2000122706 295.048
2000122712 299.943
2000122718 294.356
2000122800 292.352
2000122806 295.267
2000122812 300.225
2000122818 294.402
2000122900 291.812
2000122906 296.378
2000122912 299.31
2000122918 294.735
2000123000 292.322
2000123006 295.523
2000123012 299.173
2000123018 294.81
2000123100 293.375
2000123106 295.913
2000123112 298.838
2000123118 294.877
2001010100 293.019
2001010106 295.343
2001010112 298.815
2001010118 294.954
2001010200 293.097
2001010206 294.976
2001010212 299.686
